4.15431,3.88821
3.96181,3.70085
3.77992,3.49481
3.67298,3.39176
3.56607,3.29805
3.50177,3.18575
3.40552,3.09207
3.28791,2.98899
3.21299,2.89536
3.09538,2.79228
2.85997,2.51136
2.48529,2.00581
2.14263,1.50968
1.84262,1.00431
1.77837,0.9107
1.72481,0.82646
1.64984,0.71414
1.60159,0.62056
1.52664,0.51291
1.46774,0.42399
1.42479,0.32109
1.34985,0.21811
1.27491,0.11513
1.22135,0.03089
1.17841,-0.07201
1.10352,-0.1563
1.06055,-0.26855
0.98564,-0.36218
0.93203,-0.46511
0.63204,-0.96114
0.32139,-1.45719
0.0107,-1.96259
-0.01193,-2.44863
-0.14386,-3.92557
-0.18389,-2.93501
-0.21991,-2.44444
-0.28789,-1.93525
-0.40929,-1.4589
-0.5733,-0.96396
-0.75329,-0.4597
-0.81704,-0.36639
-0.85941,-0.25434
-0.90187,-0.17968
-0.95491,-0.06765
-1.00802,0.01634
-1.05036,0.13773
-1.10347,0.22172
-1.14589,0.31508
-1.19895,0.41776
-1.2627,0.51107
-1.32643,0.61372
-1.39015,0.71638
-1.43257,0.80974
-1.49632,0.90305
-1.56005,1.0057
-1.92135,1.51888
-2.32539,2.00391
-3.21877,2.98313
-1.66587,1.32321
-1.45281,1.2209
-1.00538,1
-0.79232,0.90469
-0.64323,0.81158
-0.47279,0.72787
-0.3131,0.61142
-0.0683,0.41106
0,0.36448
0,0.30843
0,0.22429
0,0.12146
0,0.03737
0,-0.06543
0,-0.17756
0,-0.25235
0,-0.37382
0,-0.45793
0,-0.96264
0,-1.44859
0.0917,0.41143
0.19857,0.48645
0.30536,0.53342
0.39089,0.60839
0.49771,0.66471
0.61522,0.73041
0.71137,0.78671
0.79685,0.84298
0.91436,0.90868
1.01061,1.00236
1.33119,1.21806
1.69465,1.51798
1.94051,1.71481
2.27198,2.01465
2.5927,2.28643
